income,year,sex,age_group,type,expected.mean,acm.mean,excess.mean*
LIC,2020,Female,0-24,predicted,931995,932267,0
LIC,2020,Female,25-34,predicted,131404,119239,-12336
LIC,2020,Female,35-44,predicted,128722,128096,-671
LIC,2020,Female,45-54,predicted,143549,151591,8088
LIC,2020,Female,55-64,predicted,185708,200802,15205
LIC,2020,Female,65-74,predicted,261946,280850,19035
LIC,2020,Female,75-84,predicted,265181,264046,-1225
LIC,2020,Female,>85,predicted,99879,111701,11922
LIC,2020,Male,0-24,predicted,1170041,1170382,0
LIC,2020,Male,25-34,predicted,200212,179310,-21191
LIC,2020,Male,35-44,predicted,180454,176977,-3568
LIC,2020,Male,45-54,predicted,197097,210398,13389
LIC,2020,Male,55-64,predicted,231110,261757,30915
LIC,2020,Male,65-74,predicted,268774,306591,38153
LIC,2020,Male,75-84,predicted,214366,230672,16421
LIC,2020,Male,>85,predicted,54679,65789,11216
LIC,2021,Female,0-24,predicted,916171,916286,0
LIC,2021,Female,25-34,predicted,131180,135363,4175
LIC,2021,Female,35-44,predicted,128920,147560,18656
LIC,2021,Female,45-54,predicted,143791,175246,31491
LIC,2021,Female,55-64,predicted,186514,221023,34546
LIC,2021,Female,65-74,predicted,263319,293448,30149
LIC,2021,Female,75-84,predicted,267173,284798,17623
LIC,2021,Female,>85,predicted,100666,120368,19724
LIC,2021,Male,0-24,predicted,1158282,1158427,0
LIC,2021,Male,25-34,predicted,204719,215298,10572
LIC,2021,Male,35-44,predicted,183519,211742,28250
LIC,2021,Male,45-54,predicted,199948,241195,41294
LIC,2021,Male,55-64,predicted,234757,272075,37354
LIC,2021,Male,65-74,predicted,270724,304901,34203
LIC,2021,Male,75-84,predicted,217568,234535,16969
LIC,2021,Male,>85,predicted,55279,64081,8810
LMIC,2020,Female,0-24,predicted,1894308,1894664,-1283
LMIC,2020,Female,25-34,predicted,388081,358819,-30054
LMIC,2020,Female,35-44,predicted,522389,534469,11546
LMIC,2020,Female,45-54,predicted,806986,876929,69698
LMIC,2020,Female,55-64,predicted,1352703,1500977,148306
LMIC,2020,Female,65-74,predicted,1942769,2147244,204559
LMIC,2020,Female,75-84,predicted,2087572,2171976,83347
LMIC,2020,Female,>85,predicted,1127084,1310259,183673
LMIC,2020,Male,0-24,predicted,2247862,2253388,3673
LMIC,2020,Male,25-34,predicted,567467,521747,-46785
LMIC,2020,Male,35-44,predicted,802080,808399,5531
LMIC,2020,Male,45-54,predicted,1207823,1322854,114883
LMIC,2020,Male,55-64,predicted,1979698,2286117,307354
LMIC,2020,Male,65-74,predicted,2372039,2762619,391953
LMIC,2020,Male,75-84,predicted,1940479,2153814,213496
LMIC,2020,Male,>85,predicted,784467,994544,211057
LMIC,2021,Female,0-24,predicted,1842300,1845864,2412
LMIC,2021,Female,25-34,predicted,383401,426131,42409
LMIC,2021,Female,35-44,predicted,525123,657088,131751
LMIC,2021,Female,45-54,predicted,810385,1124515,314137
LMIC,2021,Female,55-64,predicted,1360455,1942520,582329
LMIC,2021,Female,65-74,predicted,2003136,2827957,825242
LMIC,2021,Female,75-84,predicted,2113052,2706393,593239
LMIC,2021,Female,>85,predicted,1143983,1537018,393028
LMIC,2021,Male,0-24,predicted,2192051,2200239,6866
LMIC,2021,Male,25-34,predicted,564114,621661,57163
LMIC,2021,Male,35-44,predicted,815554,1016725,200947
