income,year,month,type,expected.mean,acm.mean,excess.mean*,cumul.excess.mean*,cumul.excess.low*,cumul.excess.high*
LIC,2020,1,Predicted,396951,407303,10352,10352,-24393,45887
LIC,2020,2,Predicted,393214,393939,724,11076,-35965,62547
LIC,2020,3,Predicted,388388,381598,-6790,4286,-58935,68339
LIC,2020,4,Predicted,386227,369426,-16801,-12515,-81538,59337
LIC,2020,5,Predicted,384129,383851,-278,-12793,-89663,63963
LIC,2020,6,Predicted,384590,402806,18216,5423,-81373,92250
LIC,2020,7,Predicted,385747,413596,27848,33271,-61263,126083
LIC,2020,8,Predicted,385732,412323,26591,59862,-38792,154999
LIC,2020,9,Predicted,385988,406480,20491,80353,-29753,187095
LIC,2020,10,Predicted,387429,400005,12576,92929,-22338,205220
LIC,2020,11,Predicted,391912,406011,14099,107028,-16069,223479
LIC,2020,12,Predicted,394807,413131,18325,125352,-2171,253081
LIC,2021,1,Predicted,396684,422530,25846,151198,14987,280567
LIC,2021,2,Predicted,393018,421777,28759,179957,31619,318652
LIC,2021,3,Predicted,388108,423366,35258,215215,61148,362447
LIC,2021,4,Predicted,386046,418121,32075,247290,85599,399883
LIC,2021,5,Predicted,383970,408620,24650,271940,110506,424535
LIC,2021,6,Predicted,384339,417380,33041,304980,137163,476666
LIC,2021,7,Predicted,385611,426965,41354,346334,178140,517333
LIC,2021,8,Predicted,385518,419144,33626,379960,213429,562233
LIC,2021,9,Predicted,385860,409503,23643,403603,228108,596850
LIC,2021,10,Predicted,387258,401381,14123,417726,238952,616712
LIC,2021,11,Predicted,391555,405412,13857,431583,247703,629108
LIC,2021,12,Predicted,394561,422145,27584,459167,261299,661426
LMIC,2020,1,Predicted,1915904,2065035,149662,149662,27720,300438
LMIC,2020,2,Predicted,1869689,1833278,-37096,112566,-47159,296102
LMIC,2020,3,Predicted,1841399,1661700,-180633,-68067,-266436,145354
LMIC,2020,4,Predicted,1806965,1449903,-357637,-425705,-637855,-195273
LMIC,2020,5,Predicted,1791342,1708871,-82875,-508580,-752628,-242666
LMIC,2020,6,Predicted,1790246,2026419,236352,-272228,-582182,45980
LMIC,2020,7,Predicted,1805661,2107914,301870,29642,-314276,393837
LMIC,2020,8,Predicted,1810686,2177665,366648,396290,16142,793620
LMIC,2020,9,Predicted,1801591,2229562,427496,823786,410427,1269730
LMIC,2020,10,Predicted,1822635,2161098,338036,1161822,721720,1644763
LMIC,2020,11,Predicted,1860147,2193340,332634,1494455,1013978,1981285
LMIC,2020,12,Predicted,1907542,2284035,376497,1870952,1362647,2460257
LMIC,2021,1,Predicted,1930848,2321704,390784,2261736,1713072,2857385
LMIC,2021,2,Predicted,1884527,2155690,269955,2531691,1943601,3186402
LMIC,2021,3,Predicted,1855953,2094126,237873,2769564,2125830,3469697
LMIC,2021,4,Predicted,1820670,2348111,527022,3296586,2593940,4035961
LMIC,2021,5,Predicted,1805793,3238831,1433452,4730038,3974514,5546965
LMIC,2021,6,Predicted,1803884,3066499,1262252,5992290,5147415,6844825
LMIC,2021,7,Predicted,1820115,2495801,675593,6667883,5801924,7527253
LMIC,2021,8,Predicted,1825097,2208105,382840,7050722,6142475,7947393
LMIC,2021,9,Predicted,1815570,2031310,215087,7265809,6331644,8220911
LMIC,2021,10,Predicted,1837217,2052713,216201,7482010,6458154,8552388
LMIC,2021,11,Predicted,1875376,2102770,227863,7709873,6511182,9020596
LMIC,2021,12,Predicted,1922382,2159425,236196,7946070,6477416,9705850
UMIC,2020,1,Predicted,1588353,1677261,86128,86128,68259,105583
UMIC,2020,2,Predicted,1537987,1523177,-17526,68602,47614,97562
UMIC,2020,3,Predicted,1518328,1462226,-58893,9710,-16545,36793
UMIC,2020,4,Predicted,1482262,1431852,-53273,-43563,-72870,-11362
UMIC,2020,5,Predicted,1464401,1499458,32284,-11280,-43367,24643
UMIC,2020,6,Predicted,1446181,1523630,74668,63389,30386,103585
UMIC,2020,7,Predicted,1446015,1641821,193103,256491,218648,303811
UMIC,2020,8,Predicted,1434368,1589410,152255,408747,368310,465512
UMIC,2020,9,Predicted,1438918,1559542,117894,526640,487958,569878
UMIC,2020,10,Predicted,1483211,1694992,209043,735684,698556,772393
UMIC,2020,11,Predicted,1522309,1808087,283090,1018773,981917,1051024
UMIC,2020,12,Predicted,1593835,1935905,339374,1358147,1331732,1385642
UMIC,2021,1,Predicted,1598316,1925204,325220,1683367,1653086,1717562
UMIC,2021,2,Predicted,1547318,1615534,66639,1750007,1712955,1790210
UMIC,2021,3,Predicted,1527718,1689249,159842,1909849,1866093,1951970
