location,year,excess.mean*,excess.low*,excess.high*
Global,2020,4437866,3884591,5031188
Global,2021,10425021,9108243,12071762
Global,2020-2021,14862887,13278860,16625075
AFRO,2020,238995,23899,468445
AFRO,2021,580533,377397,794636
AFRO,2020-2021,819529,502922,1148577
AMRO,2020,1302585,1261299,1341391
AMRO,2021,1929610,1880829,1975647
AMRO,2020-2021,3232194,3173683,3295285
EMRO,2020,558021,399597,719468
EMRO,2021,753258,598779,923168
EMRO,2020-2021,1311279,1091606,1547151
EURO,2020,1262370,1231130,1293461
EURO,2021,1916114,1877470,1952633
EURO,2020-2021,3178484,3130253,3226828
SEARO,2020,1261813,782394,1766103
SEARO,2021,4860780,3642910,6402465
SEARO,2020-2021,6122593,4665230,7825885
WPRO,2020,-185917,-205028,-167423
WPRO,2021,384725,182346,613825
WPRO,2020-2021,198808,-6227,431771
