location,year,sex,age_group,type,expected.mean,acm.mean,excess.mean*
Global,2020,Female,0-24,predicted,3153505,3136023,-21369
Global,2020,Female,25-34,predicted,700279,661006,-42450
Global,2020,Female,35-44,predicted,952953,985032,29112
Global,2020,Female,45-54,predicted,1601536,1737135,132845
Global,2020,Female,55-64,predicted,2817376,3093029,273076
Global,2020,Female,65-74,predicted,4540712,4970002,426780
Global,2020,Female,75-84,predicted,5958481,6283967,322090
Global,2020,Female,>85,predicted,5902218,6412780,507941
Global,2020,Male,0-24,predicted,3947039,3936653,-14503
Global,2020,Male,25-34,predicted,1172200,1126601,-48956
Global,2020,Male,35-44,predicted,1585287,1654131,65821
Global,2020,Male,45-54,predicted,2682866,2969084,283727
Global,2020,Male,55-64,predicted,4614232,5194052,577903
Global,2020,Male,65-74,predicted,6285448,7084515,797502
Global,2020,Male,75-84,predicted,6100518,6700471,597633
Global,2020,Male,>85,predicted,3656167,4208597,550713
Global,2021,Female,0-24,predicted,3068638,3072425,1097
Global,2021,Female,25-34,predicted,690153,757491,65585
Global,2021,Female,35-44,predicted,953121,1167033,212350
Global,2021,Female,45-54,predicted,1591622,2096851,504006
Global,2021,Female,55-64,predicted,2822677,3743662,920136
Global,2021,Female,65-74,predicted,4656492,5945555,1288290
Global,2021,Female,75-84,predicted,5971337,6979232,1006133
Global,2021,Female,>85,predicted,5997731,6975283,975722
Global,2021,Male,0-24,predicted,3852643,3866546,10965
Global,2021,Male,25-34,predicted,1163246,1275242,110166
Global,2021,Male,35-44,predicted,1596152,1944700,347023
Global,2021,Male,45-54,predicted,2679787,3420865,739933
Global,2021,Male,55-64,predicted,4650260,5830943,1179704
Global,2021,Male,65-74,predicted,6468993,7920639,1450563
Global,2021,Male,75-84,predicted,6153401,7120883,965581
Global,2021,Male,>85,predicted,3744689,4394141,647767
AFRO,2020,Female,0-24,predicted,1547158,1545057,-2862
AFRO,2020,Female,25-34,predicted,258102,232602,-26021
AFRO,2020,Female,35-44,predicted,272984,269711,-3467
AFRO,2020,Female,45-54,predicted,274755,295011,20416
AFRO,2020,Female,55-64,predicted,340471,370504,30310
AFRO,2020,Female,65-74,predicted,431772,479720,48453
AFRO,2020,Female,75-84,predicted,400357,409818,9401
AFRO,2020,Female,>85,predicted,169045,190790,21977
AFRO,2020,Male,0-24,predicted,1819530,1825079,4779
AFRO,2020,Male,25-34,predicted,324501,287880,-37341
AFRO,2020,Male,35-44,predicted,339447,325457,-14375
AFRO,2020,Male,45-54,predicted,356377,382480,26314
AFRO,2020,Male,55-64,predicted,408175,453366,45665
AFRO,2020,Male,65-74,predicted,448181,510822,63360
AFRO,2020,Male,75-84,predicted,346695,376439,30014
AFRO,2020,Male,>85,predicted,109587,131694,22371
AFRO,2021,Female,0-24,predicted,1524563,1527427,2600
AFRO,2021,Female,25-34,predicted,255928,253244,-2764
AFRO,2021,Female,35-44,predicted,273684,300855,27151
AFRO,2021,Female,45-54,predicted,275800,335314,59560
AFRO,2021,Female,55-64,predicted,344652,411707,67107
AFRO,2021,Female,65-74,predicted,436843,509460,72667
AFRO,2021,Female,75-84,predicted,404051,444972,40910
AFRO,2021,Female,>85,predicted,168626,203278,34664
AFRO,2021,Male,0-24,predicted,1798508,1809162,10365
AFRO,2021,Male,25-34,predicted,325450,328510,2981
AFRO,2021,Male,35-44,predicted,342457,374212,31733
AFRO,2021,Male,45-54,predicted,360833,430433,69655
AFRO,2021,Male,55-64,predicted,416874,476348,59498
AFRO,2021,Male,65-74,predicted,453955,514283,60348
AFRO,2021,Male,75-84,predicted,352598,382170,29544
AFRO,2021,Male,>85,predicted,109417,123954,14515
AMRO,2020,Female,0-24,predicted,135309,124722,-11936
AMRO,2020,Female,25-34,predicted,61760,68687,5626
AMRO,2020,Female,35-44,predicted,103928,122005,16782
AMRO,2020,Female,45-54,predicted,196414,232417,34710
AMRO,2020,Female,55-64,predicted,393790,468359,73281
AMRO,2020,Female,65-74,predicted,613432,714521,99780
AMRO,2020,Female,75-84,predicted,823997,927996,102637
AMRO,2020,Female,>85,predicted,1024438,1201612,175870
AMRO,2020,Male,0-24,predicted,242762,229671,-14473
AMRO,2020,Male,25-34,predicted,166384,181332,13630
AMRO,2020,Male,35-44,predicted,202669,243890,39934
AMRO,2020,Male,45-54,predicted,320666,408333,86419
AMRO,2020,Male,55-64,predicted,599384,757615,157015
AMRO,2020,Male,65-74,predicted,821698,1019262,196347
AMRO,2020,Male,75-84,predicted,864754,1045919,179912
AMRO,2020,Male,>85,predicted,675639,823943,147051
AMRO,2021,Female,0-24,predicted,132457,129195,-4462
AMRO,2021,Female,25-34,predicted,61882,80537,17500
AMRO,2021,Female,35-44,predicted,104905,146746,40700
AMRO,2021,Female,45-54,predicted,197601,281705,82982
AMRO,2021,Female,55-64,predicted,398443,555075,155532
AMRO,2021,Female,65-74,predicted,631453,811039,178445
AMRO,2021,Female,75-84,predicted,842462,994837,151143
AMRO,2021,Female,>85,predicted,1040518,1215951,174169
AMRO,2021,Male,0-24,predicted,236758,234011,-3976
AMRO,2021,Male,25-34,predicted,165987,203033,35882
AMRO,2021,Male,35-44,predicted,204100,282230,77001
AMRO,2021,Male,45-54,predicted,321813,471176,148277
AMRO,2021,Male,55-64,predicted,607351,863840,255441
AMRO,2021,Male,65-74,predicted,846294,1114175,266775
AMRO,2021,Male,75-84,predicted,888013,1099451,210257
AMRO,2021,Male,>85,predicted,687694,832832,143943
EMRO,2020,Female,0-24,predicted,505487,503444,-2875
EMRO,2020,Female,25-34,predicted,69592,68610,-1339
EMRO,2020,Female,35-44,predicted,85534,93552,7718
EMRO,2020,Female,45-54,predicted,128468,147427,18704
EMRO,2020,Female,55-64,predicted,220845,262000,40986
EMRO,2020,Female,65-74,predicted,336651,400924,64172
EMRO,2020,Female,75-84,predicted,364113,406213,41785
EMRO,2020,Female,>85,predicted,170207,221215,50975
EMRO,2020,Male,0-24,predicted,672406,669952,-3468
EMRO,2020,Male,25-34,predicted,126883,127086,-206
EMRO,2020,Male,35-44,predicted,139892,154656,14463
EMRO,2020,Male,45-54,predicted,212498,248428,35727
EMRO,2020,Male,55-64,predicted,353415,428530,75086
EMRO,2020,Male,65-74,predicted,422291,523326,101147
EMRO,2020,Male,75-84,predicted,373946,439563,65487
EMRO,2020,Male,>85,predicted,146392,196070,49659
EMRO,2021,Female,0-24,predicted,493151,495917,1532
EMRO,2021,Female,25-34,predicted,69528,77390,7579
EMRO,2021,Female,35-44,predicted,86811,108510,21546
EMRO,2021,Female,45-54,predicted,129662,173268,43630
EMRO,2021,Female,55-64,predicted,224151,293073,69054
EMRO,2021,Female,65-74,predicted,346508,428069,81590
EMRO,2021,Female,75-84,predicted,373041,436829,63546
EMRO,2021,Female,>85,predicted,173756,228695,55008
EMRO,2021,Male,0-24,predicted,658324,660814,906
EMRO,2021,Male,25-34,predicted,127183,143967,16486
EMRO,2021,Male,35-44,predicted,141375,175913,34426
EMRO,2021,Male,45-54,predicted,214243,278101,63950
EMRO,2021,Male,55-64,predicted,358705,452396,93842
EMRO,2021,Male,65-74,predicted,432334,533224,100973
EMRO,2021,Male,75-84,predicted,378579,438247,59365
EMRO,2021,Male,>85,predicted,148257,188142,39824
EURO,2020,Female,0-24,predicted,54962,52979,-3044
EURO,2020,Female,25-34,predicted,31912,32764,-208
EURO,2020,Female,35-44,predicted,74848,81000,5091
EURO,2020,Female,45-54,predicted,153227,171621,17335
EURO,2020,Female,55-64,predicted,369091,416115,45964
EURO,2020,Female,65-74,predicted,700575,811608,109979
EURO,2020,Female,75-84,predicted,1303815,1477680,172805
EURO,2020,Female,>85,predicted,1835388,2079220,242770
EURO,2020,Male,0-24,predicted,86244,85363,-1943
EURO,2020,Male,25-34,predicted,81534,84230,1635
EURO,2020,Male,35-44,predicted,177417,190539,12060
EURO,2020,Male,45-54,predicted,334456,368973,33454
EURO,2020,Male,55-64,predicted,741111,825332,83157
EURO,2020,Male,65-74,predicted,1055903,1233541,176589
EURO,2020,Male,75-84,predicted,1212418,1400461,186990
EURO,2020,Male,>85,predicted,935298,1116077,179736
EURO,2021,Female,0-24,predicted,52992,54395,1298
EURO,2021,Female,25-34,predicted,30325,34756,4334
EURO,2021,Female,35-44,predicted,74136,89091,14860
EURO,2021,Female,45-54,predicted,150811,191251,40356
EURO,2021,Female,55-64,predicted,365451,479631,114129
EURO,2021,Female,65-74,predicted,715392,969606,254241
EURO,2021,Female,75-84,predicted,1268545,1536953,268317
EURO,2021,Female,>85,predicted,1844601,2148610,303820
EURO,2021,Male,0-24,predicted,82861,85092,2120
EURO,2021,Male,25-34,predicted,76906,85032,8023
EURO,2021,Male,35-44,predicted,175857,204873,28914
EURO,2021,Male,45-54,predicted,330400,397639,67143
EURO,2021,Male,55-64,predicted,732591,876459,143763
EURO,2021,Male,65-74,predicted,1079939,1352637,272657
EURO,2021,Male,75-84,predicted,1196044,1406090,209905
EURO,2021,Male,>85,predicted,955922,1138272,182235
SEARO,2020,Female,0-24,predicted,727600,727908,-85
SEARO,2020,Female,25-34,predicted,191044,178527,-12699
SEARO,2020,Female,35-44,predicted,290358,299864,9393
SEARO,2020,Female,45-54,predicted,529323,578050,48704
SEARO,2020,Female,55-64,predicted,920649,1020993,100402
SEARO,2020,Female,65-74,predicted,1315879,1447328,131470
SEARO,2020,Female,75-84,predicted,1392589,1439583,46509
SEARO,2020,Female,>85,predicted,744638,878906,134604
SEARO,2020,Male,0-24,predicted,834687,836857,1730
SEARO,2020,Male,25-34,predicted,302703,278656,-24351
SEARO,2020,Male,35-44,predicted,486205,494365,7937
SEARO,2020,Male,45-54,predicted,797134,878532,81415
SEARO,2020,Male,55-64,predicted,1345267,1551682,206833
SEARO,2020,Male,65-74,predicted,1610075,1864523,254992
SEARO,2020,Male,75-84,predicted,1295362,1425882,130547
SEARO,2020,Male,>85,predicted,536486,680400,144412
SEARO,2021,Female,0-24,predicted,696093,696495,362
SEARO,2021,Female,25-34,predicted,187321,230043,42718
SEARO,2021,Female,35-44,predicted,290698,392147,101458
SEARO,2021,Female,45-54,predicted,528659,772979,244360
SEARO,2021,Female,55-64,predicted,922383,1388108,465812
SEARO,2021,Female,65-74,predicted,1355281,2031470,676319
SEARO,2021,Female,75-84,predicted,1412280,1923392,511190
SEARO,2021,Female,>85,predicted,763503,1023000,259531
SEARO,2021,Male,0-24,predicted,803951,805986,1989
SEARO,2021,Male,25-34,predicted,302096,357696,55594
SEARO,2021,Male,35-44,predicted,496539,661532,165011
SEARO,2021,Male,45-54,predicted,805354,1143736,338438
SEARO,2021,Male,55-64,predicted,1369713,1941581,571967
SEARO,2021,Male,65-74,predicted,1667183,2385181,718126
SEARO,2021,Male,75-84,predicted,1310235,1806535,496378
SEARO,2021,Male,>85,predicted,545743,757240,211527
WPRO,2020,Female,0-24,predicted,182989,182548,-565
WPRO,2020,Female,25-34,predicted,87869,79894,-8084
WPRO,2020,Female,35-44,predicted,125300,118998,-6414
WPRO,2020,Female,45-54,predicted,319348,312714,-6750
WPRO,2020,Female,55-64,predicted,572529,555189,-17442
WPRO,2020,Female,65-74,predicted,1142403,1115938,-26562
WPRO,2020,Female,75-84,predicted,1673609,1622355,-51318
WPRO,2020,Female,>85,predicted,1958503,1840191,-118262
WPRO,2020,Male,0-24,predicted,291410,290497,-1039
WPRO,2020,Male,25-34,predicted,170196,167520,-2796
WPRO,2020,Male,35-44,predicted,239658,245337,5542
WPRO,2020,Male,45-54,predicted,661735,682411,20504
WPRO,2020,Male,55-64,predicted,1166879,1177578,10535
WPRO,2020,Male,65-74,predicted,1927299,1932872,5401
WPRO,2020,Male,75-84,predicted,2007344,2011801,4287
WPRO,2020,Male,>85,predicted,1252765,1259969,7044
WPRO,2021,Female,0-24,predicted,169382,169344,-215
WPRO,2021,Female,25-34,predicted,85170,81531,-3830
WPRO,2021,Female,35-44,predicted,122887,129681,6712
WPRO,2021,Female,45-54,predicted,309089,342304,33380
WPRO,2021,Female,55-64,predicted,567596,616000,48662
WPRO,2021,Female,65-74,predicted,1171015,1195795,24564
WPRO,2021,Female,75-84,predicted,1670958,1642117,-29846
WPRO,2021,Female,>85,predicted,2006728,2155487,149714
WPRO,2021,Male,0-24,predicted,272241,272018,-435
WPRO,2021,Male,25-34,predicted,165624,157063,-8836
WPRO,2021,Male,35-44,predicted,235824,245939,10035
WPRO,2021,Male,45-54,predicted,647144,699765,52901
WPRO,2021,Male,55-64,predicted,1165027,1220284,55399
WPRO,2021,Male,65-74,predicted,1989287,2021031,31341
WPRO,2021,Male,75-84,predicted,2027932,1988310,-40868
WPRO,2021,Male,>85,predicted,1297656,1353597,56047
